gene_symbol,index
ABCC1,1
ACVR1B,2
ACSL4,3
ALOX15,4
ATF3,5
ATG3,6
BAP1,7
BCL6,8
BRD7,9
CAVIN1,10
CD74,11
CD82,12
CDO1,13
COX7A1,14
CTSB,15
CXCL10,16
DPEP1,17
DPP4,18
DUOX1,19
DYRK1A,20
E2F1,21
E2F3,22
EBF3,23
EDN1,24
EGR1,25
EMP1,26
EPHA2,27
EPHA4,28
ERN1,29
FBXO31,30
FOSL1,31
GMFB,32
HBP1,33
HERPUD1,34
HIF1A,35
HMGB1,36
HMOX1,37
ICA1,38
IFNG,39
IGFBP7,40
IL1B,41
IL6,42
IRF1,43
IRF7,44
IRF9,45
KDM6B,46
KEAP1,47
KLF6,48
LACTB,49
LCN2,50
LGMN,51
LIFR,52
LOX,53
LPCAT3,54
MAP3K14,55
MAPK1,56
MAPK14,57
MCU,58
MEN1,59
MPO,60
NLRP3,61
NOX4,62
NR1D1,63
NR2F2,64
NUAK2,65
PADI4,66
PDE4B,67
PPP2R2B,68
PRKD1,69
PTBP1,70
PTGS2,71
RBM3,72
RUNX3,73
S100A8,74
SAT1,75
SETD7,76
SLAMF8,77
SLC1A5,78
SMARCB1,79
SMURF2,80
SNCA,81
SOCS1,82
SOCS2,83
SOD1,84
SP1,85
SPATA2,86
TBX2,87
TFRC,88
TLR4,89
TNFAIP1,90
TNFAIP3,91
TXNIP,92
WNT5A,93
WWTR1,94
YAP1,95
ZEB1,96
