Gene,Degree,Degree_Centrality,Betweenness_Centrality,Closeness_Centrality,Hub_Rank,MedianRank,N_Datasets,Direction,WGCNA_Module
IL1B,13,0.48148148148148145,0.12418260751594083,0.5142450142450142,1.3333333333333333,3.063153978772492,4,Up,brown
TLR4,11,0.4074074074074074,0.056423823090489766,0.47751322751322756,2.3333333333333335,5.682142695754652,4,Up,brown
CD74,8,0.2962962962962963,0.13489350156016822,0.445679012345679,2.8333333333333335,3.664927199238943,4,Up,green
IRF1,8,0.2962962962962963,0.04948446615113281,0.43130227001194743,4.833333333333333,3.512941568068052,4,Up,red
PTGS2,10,0.37037037037037035,0.036948853615520284,0.41782407407407407,5.333333333333333,3.632030632346293,4,Up,purple
BCL6,6,0.2222222222222222,0.0533984533984534,0.39324618736383443,6.333333333333333,2.0646220909361235,4,Up,brown
CXCL10,7,0.25925925925925924,0.04078144078144079,0.4051627384960719,6.5,4.312570705741137,4,Up,blue
EGR1,7,0.25925925925925924,0.007359924026590693,0.3613613613613614,8.833333333333334,-2.150183608096623,4,Down,brown
LCN2,5,0.18518518518518517,0.014468864468864471,0.3428300094966762,9.666666666666666,5.208602643109801,4,Up,midnightblue
CTSB,4,0.14814814814814814,0.01164021164021164,0.35185185185185186,10.333333333333334,2.354754188209084,4,Up,grey
MAPK1,5,0.18518518518518517,0.001899335232668566,0.3428300094966762,11.0,2.8280470620566973,4,Up,brown
SP1,4,0.14814814814814814,0.008879392212725545,0.33425925925925926,11.666666666666666,4.035876226300375,4,Up,brown
KDM6B,2,0.07407407407407407,0.05128205128205129,0.29066022544283415,12.166666666666666,2.750993124984747,4,Up,brown
KLF6,2,0.07407407407407407,0.000949667616334283,0.29066022544283415,15.166666666666666,4.044143439597746,4,Up,brown
SOD1,4,0.14814814814814814,0.0,0.32610659439927736,15.5,-1.674418995040004,4,Down,blue
PDE4B,2,0.07407407407407407,0.0,0.31093884582256676,17.166666666666668,2.7295359354399835,4,Up,purple
LGMN,2,0.07407407407407407,0.0,0.2844759653270291,18.166666666666668,3.248056705386637,4,Up,grey
IGFBP7,2,0.07407407407407407,0.0,0.2674074074074074,18.5,3.10382911019283,4,Up,green
RUNX3,1,0.037037037037037035,0.0,0.2571225071225071,20.333333333333332,2.487006395974697,3,Up,cyan
DYRK1A,1,0.037037037037037035,0.0,0.20891203703703703,20.666666666666668,1.6550079614835722,4,Up,brown
LPCAT3,1,0.037037037037037035,0.0,0.037037037037037035,21.166666666666668,2.155482806937953,4,Up,brown
SAT1,1,0.037037037037037035,0.0,0.037037037037037035,21.166666666666668,5.741912330103856,4,Up,brown
LACTB,0,0.0,0.0,0.0,24.166666666666668,2.2194834491230933,4,Up,grey
EPHA4,0,0.0,0.0,0.0,24.166666666666668,-4.422144335325264,4,Down,blue
GMFB,0,0.0,0.0,0.0,24.166666666666668,1.9390486064954304,4,Up,purple
HBP1,0,0.0,0.0,0.0,24.166666666666668,1.9113986340283136,4,Up,brown
FBXO31,0,0.0,0.0,0.0,24.166666666666668,-3.441701577106476,4,Down,green
EMP1,0,0.0,0.0,0.0,24.166666666666668,6.884165711170224,4,Up,grey
