source,target,weight
SAT1,LPCAT3,0.593
TLR4,CD74,0.697
TLR4,MAPK1,0.606
TLR4,EGR1,0.436
TLR4,IRF1,0.818
TLR4,IL1B,0.986
TLR4,SOD1,0.631
TLR4,CXCL10,0.969
TLR4,CTSB,0.553
TLR4,PTGS2,0.787
TLR4,LCN2,0.556
TLR4,BCL6,0.48
LCN2,IL1B,0.761
LCN2,IGFBP7,0.72
LCN2,CXCL10,0.54
LCN2,PTGS2,0.418
CXCL10,CD74,0.551
CXCL10,IRF1,0.875
CXCL10,IL1B,0.962
CXCL10,IGFBP7,0.512
CXCL10,PTGS2,0.605
KLF6,IRF1,0.55
KLF6,SP1,0.837
SP1,MAPK1,0.969
SP1,EGR1,0.806
SP1,IL1B,0.518
CD74,BCL6,0.406
CD74,IRF1,0.501
CD74,IL1B,0.513
CD74,KDM6B,0.557
CD74,LGMN,0.932
CD74,CTSB,0.954
PTGS2,MAPK1,0.78
PTGS2,EGR1,0.643
PTGS2,IRF1,0.485
PTGS2,IL1B,0.974
PTGS2,SOD1,0.523
PTGS2,PDE4B,0.446
PTGS2,BCL6,0.536
IRF1,EGR1,0.52
IRF1,BCL6,0.449
IRF1,IL1B,0.711
LGMN,CTSB,0.944
IL1B,MAPK1,0.653
IL1B,EGR1,0.665
IL1B,PDE4B,0.402
IL1B,BCL6,0.439
IL1B,SOD1,0.645
IL1B,CTSB,0.695
MAPK1,EGR1,0.946
KDM6B,DYRK1A,0.433
RUNX3,BCL6,0.484
EGR1,SOD1,0.526
