Sample,Ferroaging_Score,group,time,tissue
S1,0.1140334704962467,Sham,0hr,Sham
S2,0.11199985377746344,Sham,0hr,Sham
S3,0.11253963361500231,Sham,0hr,Sham
C1_3hr,0.09584364882064944,Contralateral,3hr,Contralateral
C2_3hr,0.13994871614339566,Contralateral,3hr,Contralateral
C3_3hr,0.10445603575595151,Contralateral,3hr,Contralateral
C1_6hr,0.13684635859692898,Contralateral,6hr,Contralateral
C2_6hr,0.09912353461644538,Contralateral,6hr,Contralateral
C3_6hr,0.11845794594035257,Contralateral,6hr,Contralateral
C1_12hr,0.13292963345365277,Contralateral,12hr,Contralateral
C2_12hr,0.10246077795993161,Contralateral,12hr,Contralateral
C3_12hr,0.11797808800427358,Contralateral,12hr,Contralateral
C1_24hr,0.12057801817346185,Contralateral,24hr,Contralateral
C2_24hr,0.10928923087378352,Contralateral,24hr,Contralateral
C3_24hr,0.13825658994284074,Contralateral,24hr,Contralateral
I1_3hr,0.1258677631664464,Ipsilateral,3hr,Ipsilateral
I2_3hr,0.15251697534023564,Ipsilateral,3hr,Ipsilateral
I3_3hr,0.153462739157788,Ipsilateral,3hr,Ipsilateral
I1_6hr,0.16640175355326517,Ipsilateral,6hr,Ipsilateral
I2_6hr,0.16902805938311474,Ipsilateral,6hr,Ipsilateral
I3_6hr,0.17072104301906937,Ipsilateral,6hr,Ipsilateral
I1_12hr,0.1355581046517209,Ipsilateral,12hr,Ipsilateral
I2_12hr,0.13372529889993753,Ipsilateral,12hr,Ipsilateral
I3_12hr,0.19848127702629326,Ipsilateral,12hr,Ipsilateral
I1_24hr,0.23902174459643472,Ipsilateral,24hr,Ipsilateral
I2_24hr,0.19721691435389763,Ipsilateral,24hr,Ipsilateral
I3_24hr,0.16333105837204212,Ipsilateral,24hr,Ipsilateral
