gene_symbol,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
EMP1,0.0636942675159235,0.0445859872611464,0.0254777070063694,0.0127388535031847,0.0764331210191082,0.0573248407643312,0.0254777070063694,0.0955414012738853,0.0318471337579617,0.1273885350318471,0.0254777070063694,0.0382165605095541,0.0,0.019108280254777,0.019108280254777,0.0891719745222929,0.0636942675159235,0.1146496815286624,0.0254777070063694,0.0445859872611464
SAT1,0.0643274853801169,0.023391812865497,0.0526315789473684,0.1111111111111111,0.0643274853801169,0.0584795321637426,0.0292397660818713,0.0584795321637426,0.0643274853801169,0.0994152046783625,0.0409356725146198,0.0175438596491228,0.0350877192982456,0.0116959064327485,0.0467836257309941,0.0643274853801169,0.0292397660818713,0.0467836257309941,0.023391812865497,0.0584795321637426
TLR4,0.0369487485101311,0.0250297973778307,0.0393325387365911,0.0595947556615017,0.069129916567342,0.0464839094159713,0.0274135876042908,0.0524433849821215,0.0441001191895113,0.1549463647199046,0.0190703218116805,0.0655542312276519,0.0309892729439809,0.0500595947556615,0.0369487485101311,0.0965435041716328,0.0464839094159713,0.0595947556615017,0.0119189511323003,0.0274135876042908
LCN2,0.0454545454545454,0.0151515151515151,0.0454545454545454,0.0454545454545454,0.0555555555555555,0.0656565656565656,0.0151515151515151,0.0505050505050505,0.0808080808080808,0.1161616161616161,0.0151515151515151,0.0505050505050505,0.0606060606060606,0.0606060606060606,0.0353535353535353,0.0606060606060606,0.0505050505050505,0.0656565656565656,0.0151515151515151,0.0505050505050505
EPHA4,0.0699797160243407,0.0294117647058823,0.0567951318458417,0.0608519269776876,0.0314401622718052,0.0669371196754563,0.0131845841784989,0.0598377281947261,0.0527383367139959,0.0649087221095334,0.0253549695740365,0.050709939148073,0.0476673427991886,0.0344827586206896,0.0588235294117647,0.075050709939148,0.061866125760649,0.0851926977687626,0.0152129817444219,0.0395537525354969
CXCL10,0.0510204081632653,0.0612244897959183,0.0,0.0612244897959183,0.0204081632653061,0.0306122448979591,0.0,0.1122448979591836,0.1020408163265306,0.1020408163265306,0.0204081632653061,0.0510204081632653,0.0714285714285714,0.0408163265306122,0.0714285714285714,0.1020408163265306,0.0510204081632653,0.0510204081632653,0.0,0.0
KLF6,0.0318021201413427,0.0424028268551236,0.0459363957597173,0.0918727915194346,0.0353356890459364,0.0565371024734982,0.0424028268551236,0.0282685512367491,0.0636042402826855,0.0848056537102473,0.0106007067137809,0.0176678445229682,0.0671378091872791,0.0282685512367491,0.0636042402826855,0.1554770318021201,0.0530035335689045,0.03886925795053,0.0176678445229682,0.0247349823321554
SP1,0.0815286624203821,0.0140127388535031,0.0229299363057324,0.0305732484076433,0.0152866242038216,0.1248407643312101,0.019108280254777,0.0522292993630573,0.0254777070063694,0.0700636942675159,0.0178343949044585,0.062420382165605,0.0535031847133758,0.1133757961783439,0.0267515923566879,0.1222929936305732,0.086624203821656,0.0471337579617834,0.0050955414012738,0.0089171974522292
CD74,0.0405405405405405,0.027027027027027,0.0405405405405405,0.0574324324324324,0.0236486486486486,0.0641891891891891,0.0371621621621621,0.0168918918918918,0.0574324324324324,0.1182432432432432,0.0506756756756756,0.0472972972972973,0.0945945945945946,0.0574324324324324,0.0574324324324324,0.0675675675675675,0.054054054054054,0.0472972972972973,0.0135135135135135,0.027027027027027
PTGS2,0.0513245033112582,0.021523178807947,0.043046357615894,0.0596026490066225,0.0629139072847682,0.0612582781456953,0.0314569536423841,0.0562913907284768,0.0562913907284768,0.0943708609271523,0.0248344370860927,0.0480132450331125,0.0662251655629139,0.0513245033112582,0.0447019867549668,0.0579470198675496,0.0562913907284768,0.0579470198675496,0.009933774834437,0.0447019867549668
IRF1,0.0523076923076923,0.0184615384615384,0.0769230769230769,0.0676923076923076,0.0215384615384615,0.0492307692307692,0.0153846153846153,0.0492307692307692,0.0707692307692307,0.0769230769230769,0.0338461538461538,0.0369230769230769,0.0892307692307692,0.04,0.0461538461538461,0.1046153846153846,0.0553846153846153,0.0461538461538461,0.0276923076923076,0.0215384615384615
FBXO31,0.0556586270871985,0.0278293135435992,0.0519480519480519,0.0797773654916512,0.0408163265306122,0.098330241187384,0.0352504638218923,0.0482374768089053,0.0296846011131725,0.085343228200371,0.0204081632653061,0.0204081632653061,0.0816326530612244,0.0482374768089053,0.0946196660482374,0.0500927643784786,0.046382189239332,0.0482374768089053,0.0111317254174397,0.0259740259740259
LGMN,0.0554272517321016,0.0161662817551963,0.0623556581986143,0.0600461893764434,0.0207852193995381,0.0554272517321016,0.0577367205542725,0.0508083140877598,0.0554272517321016,0.0831408775981524,0.0369515011547344,0.046189376443418,0.0554272517321016,0.0300230946882217,0.0392609699769053,0.0623556581986143,0.0554272517321016,0.0831408775981524,0.0138568129330254,0.0600461893764434
IGFBP7,0.0886524822695035,0.0638297872340425,0.0283687943262411,0.0673758865248227,0.0,0.1382978723404255,0.0141843971631205,0.0319148936170212,0.0531914893617021,0.0886524822695035,0.0106382978723404,0.0141843971631205,0.0815602836879432,0.0319148936170212,0.0567375886524822,0.0851063829787234,0.0460992907801418,0.0673758865248227,0.0106382978723404,0.0212765957446808
IL1B,0.0483271375464684,0.0185873605947955,0.0743494423791821,0.0780669144981412,0.0743494423791821,0.0483271375464684,0.0148698884758364,0.0334572490706319,0.0743494423791821,0.0892193308550185,0.0446096654275092,0.0446096654275092,0.0557620817843866,0.0669144981412639,0.0223048327137546,0.0780669144981412,0.0334572490706319,0.0631970260223048,0.0074349442379182,0.0297397769516728
MAPK1,0.0694444444444444,0.0194444444444444,0.0666666666666666,0.0583333333333333,0.0361111111111111,0.0472222222222222,0.0361111111111111,0.0777777777777777,0.0638888888888888,0.1194444444444444,0.025,0.0527777777777777,0.0555555555555555,0.0333333333333333,0.0527777777777777,0.0444444444444444,0.0388888888888888,0.0416666666666666,0.0083333333333333,0.0527777777777777
KDM6B,0.0870359099208764,0.017650639074863,0.0279975654290931,0.0669506999391357,0.0225197808886183,0.0748630553864881,0.0279975654290931,0.0225197808886183,0.0413877054169202,0.079123554473524,0.0085209981740718,0.0237370663420572,0.1606816798539257,0.0413877054169202,0.0651247717589774,0.09373097991479,0.057212416311625,0.0480827754108338,0.0133901399878271,0.0200852099817407
PDE4B,0.0489130434782608,0.014945652173913,0.0747282608695652,0.0720108695652173,0.0326086956521739,0.0366847826086956,0.03125,0.0434782608695652,0.0489130434782608,0.1032608695652173,0.0353260869565217,0.0502717391304347,0.046195652173913,0.0502717391304347,0.0502717391304347,0.1073369565217391,0.0679347826086956,0.0516304347826086,0.0095108695652173,0.0244565217391304
RUNX3,0.0819277108433735,0.0096385542168674,0.0457831325301204,0.0289156626506024,0.0457831325301204,0.0891566265060241,0.0240963855421686,0.0120481927710843,0.0192771084337349,0.0578313253012048,0.0313253012048192,0.036144578313253,0.108433734939759,0.0337349397590361,0.0771084337349397,0.1253012048192771,0.0771084337349397,0.0650602409638554,0.0048192771084337,0.0265060240963855
CTSB,0.0530973451327433,0.0501474926253687,0.0471976401179941,0.0589970501474926,0.0324483775811209,0.103244837758112,0.0324483775811209,0.0442477876106194,0.0442477876106194,0.0619469026548672,0.0206489675516224,0.0501474926253687,0.0589970501474926,0.0294985250737463,0.0412979351032448,0.079646017699115,0.0442477876106194,0.0619469026548672,0.0353982300884955,0.0501474926253687
LACTB,0.0786106032906764,0.0146252285191956,0.0383912248628884,0.0804387568555758,0.0329067641681901,0.0859232175502742,0.016453382084095,0.0347349177330895,0.0840950639853747,0.0950639853747714,0.0274223034734917,0.0420475319926873,0.0603290676416819,0.0292504570383912,0.0475319926873857,0.0676416819012797,0.0402193784277879,0.0694698354661791,0.0146252285191956,0.0402193784277879
LPCAT3,0.0636550308008213,0.0184804928131416,0.0225872689938398,0.0410677618069815,0.0800821355236139,0.0718685831622176,0.0266940451745379,0.0636550308008213,0.055441478439425,0.1519507186858316,0.028747433264887,0.0308008213552361,0.028747433264887,0.0369609856262833,0.0266940451745379,0.055441478439425,0.0574948665297741,0.0513347022587269,0.0225872689938398,0.0657084188911704
EGR1,0.0791896869244935,0.0147329650092081,0.0331491712707182,0.0349907918968692,0.0460405156537753,0.0626151012891344,0.0202578268876611,0.0294659300184162,0.0349907918968692,0.0570902394106814,0.0202578268876611,0.0294659300184162,0.1289134438305709,0.0478821362799263,0.0405156537753222,0.1749539594843462,0.0810313075506445,0.0313075506445672,0.001841620626151,0.0313075506445672
BCL6,0.075070821529745,0.0453257790368272,0.0339943342776204,0.0736543909348441,0.0339943342776204,0.0382436260623229,0.0396600566572237,0.0339943342776204,0.0538243626062322,0.0793201133144475,0.0269121813031161,0.0481586402266288,0.0920679886685552,0.0354107648725212,0.0637393767705382,0.1048158640226629,0.0481586402266288,0.0410764872521246,0.0014164305949008,0.0311614730878186
GMFB,0.0352112676056338,0.0211267605633802,0.0704225352112676,0.1197183098591549,0.056338028169014,0.0352112676056338,0.0140845070422535,0.0492957746478873,0.0915492957746478,0.0985915492957746,0.028169014084507,0.028169014084507,0.0422535211267605,0.0352112676056338,0.0633802816901408,0.056338028169014,0.0352112676056338,0.0774647887323943,0.0070422535211267,0.0352112676056338
HBP1,0.0486381322957198,0.0311284046692607,0.0622568093385214,0.0661478599221789,0.0350194552529182,0.0603112840466926,0.0350194552529182,0.0214007782101167,0.0603112840466926,0.0758754863813229,0.0311284046692607,0.0505836575875486,0.0603112840466926,0.0408560311284046,0.0428015564202334,0.1284046692607003,0.0428015564202334,0.0544747081712062,0.0214007782101167,0.0311284046692607
SOD1,0.0649350649350649,0.0259740259740259,0.0714285714285714,0.0649350649350649,0.0259740259740259,0.1623376623376623,0.0519480519480519,0.0584415584415584,0.0714285714285714,0.0584415584415584,0.0064935064935064,0.0454545454545454,0.0324675324675324,0.0194805194805194,0.0259740259740259,0.0649350649350649,0.0519480519480519,0.0909090909090909,0.0064935064935064,0.0
DYRK1A,0.0589777195281782,0.0117955439056356,0.0484927916120576,0.0432503276539973,0.0314547837483617,0.0694626474442988,0.0615989515072083,0.038007863695937,0.0524246395806028,0.0707732634338138,0.0327653997378768,0.0471821756225425,0.0524246395806028,0.0681520314547837,0.0524246395806028,0.0982961992136304,0.0668414154652686,0.0511140235910878,0.0065530799475753,0.038007863695937
ACSL4,0.060478199718706,0.0267229254571026,0.0421940928270042,0.0661040787623066,0.0323488045007032,0.0787623066104078,0.0168776371308016,0.0731364275668073,0.090014064697609,0.0998593530239099,0.030942334739803,0.0492264416315049,0.0520393811533052,0.0267229254571026,0.0337552742616033,0.0562587904360056,0.0576652601969057,0.0562587904360056,0.0098452883263009,0.040787623066104
FTH1,0.0710382513661202,0.0163934426229508,0.081967213114754,0.087431693989071,0.0327868852459016,0.0382513661202185,0.0546448087431694,0.0327868852459016,0.0710382513661202,0.1202185792349726,0.0273224043715847,0.0655737704918032,0.0163934426229508,0.0546448087431694,0.0382513661202185,0.0655737704918032,0.0382513661202185,0.0327868852459016,0.0054644808743169,0.0491803278688524
FTL,0.0857142857142857,0.0057142857142857,0.0742857142857142,0.0914285714285714,0.0457142857142857,0.0685714285714285,0.04,0.0171428571428571,0.0685714285714285,0.1542857142857142,0.0285714285714285,0.0342857142857142,0.0228571428571428,0.04,0.0571428571428571,0.0457142857142857,0.04,0.0342857142857142,0.0057142857142857,0.04
GPX4,0.0812182741116751,0.0456852791878172,0.0558375634517766,0.0507614213197969,0.0507614213197969,0.0862944162436548,0.0253807106598984,0.0507614213197969,0.0862944162436548,0.0913705583756345,0.0355329949238578,0.0507614213197969,0.0456852791878172,0.0253807106598984,0.0456852791878172,0.0355329949238578,0.0253807106598984,0.0558375634517766,0.0203045685279187,0.0304568527918781
HMOX1,0.0972222222222222,0.0,0.03125,0.0902777777777777,0.0451388888888888,0.0416666666666666,0.0208333333333333,0.0243055555555555,0.0555555555555555,0.1145833333333333,0.0277777777777777,0.0277777777777777,0.0694444444444444,0.0625,0.0694444444444444,0.0555555555555555,0.0555555555555555,0.0659722222222222,0.0104166666666666,0.0347222222222222
NFE2L2,0.0495867768595041,0.0099173553719008,0.0743801652892562,0.0958677685950413,0.0413223140495867,0.0347107438016528,0.028099173553719,0.0396694214876033,0.0644628099173553,0.1024793388429752,0.0198347107438016,0.0479338842975206,0.0694214876033057,0.0644628099173553,0.028099173553719,0.1107438016528925,0.0413223140495867,0.0578512396694214,0.0033057851239669,0.0165289256198347
SLC7A11,0.0658682634730539,0.0139720558882235,0.0159680638722554,0.0419161676646706,0.0678642714570858,0.0758483033932135,0.0119760479041916,0.0998003992015968,0.0419161676646706,0.12375249500998,0.0279441117764471,0.0279441117764471,0.0538922155688622,0.0199600798403193,0.0399201596806387,0.0698602794411177,0.06187624750499,0.0898203592814371,0.0139720558882235,0.0359281437125748
STAT3,0.0571428571428571,0.0181818181818181,0.0415584415584415,0.0766233766233766,0.0389610389610389,0.0506493506493506,0.0168831168831168,0.0532467532467532,0.061038961038961,0.1064935064935064,0.035064935064935,0.0493506493506493,0.0441558441558441,0.0779220779220779,0.0454545454545454,0.0662337662337662,0.061038961038961,0.0532467532467532,0.0194805194805194,0.0272727272727272
TFRC,0.0789473684210526,0.0105263157894736,0.056578947368421,0.0605263157894736,0.0605263157894736,0.0697368421052631,0.0171052631578947,0.0421052631578947,0.0657894736842105,0.0934210526315789,0.0184210526315789,0.0552631578947368,0.0407894736842105,0.0302631578947368,0.0434210526315789,0.0736842105263157,0.0578947368421052,0.0736842105263157,0.0144736842105263,0.0368421052631578
TP53,0.0610687022900763,0.0254452926208651,0.0508905852417302,0.0763358778625954,0.0279898218829516,0.0585241730279898,0.0305343511450381,0.0203562340966921,0.0508905852417302,0.0814249363867684,0.0305343511450381,0.0356234096692111,0.1145038167938931,0.0381679389312977,0.0661577608142493,0.0966921119592875,0.0559796437659033,0.0458015267175572,0.010178117048346,0.0229007633587786
