Gene,UniProt,Priority,ChEMBL_Actives,BindingDB_Actives,DrugBank_Actives,Total_Estimate,ChEMBL_Status,BindingDB_Status
MAPK1,P28482,YES,6487,6612,27,13126,OK,OK
PTGS2,P35354,YES,4087,0,146,4233,OK,ZERO
STAT3,P40763,YES,965,939,15,1919,OK,OK
NFE2L2,Q16236,YES,7,1591,5,1603,OK,OK
TP53,P04637,YES,20,832,17,869,OK,OK
IL1B,P01584,YES,308,337,18,663,OK,OK
TLR4,O00206,YES,109,199,13,321,OK,OK
HMOX1,P09601,YES,19,144,15,178,OK,OK
GPX4,P36969,YES,68,80,3,151,OK,OK
SLC7A11,Q9UPY5,YES,21,19,11,51,OK,OK
TFRC,P02786,YES,2,2,10,14,OK,OK
FTH1,P02794,YES,1,1,9,11,OK,OK
FTL,P02792,YES,0,0,6,6,NOT_FOUND,ZERO
ACSL4,O60488,YES,0,0,3,3,ZERO_ACTIVES,ZERO
MTOR,P42345,,5663,5565,32,11260,OK,OK
DYRK1A,Q13627,,3021,4977,6,8004,OK,OK
PDE4B,Q07343,,2807,4165,42,7014,OK,OK
ALOX5,P09917,,2350,2366,50,4766,OK,OK
CTSB,P07858,,1559,1525,15,3099,OK,OK
BCL6,P41182,,415,1486,0,1901,OK,OK
KEAP1,Q14145,,337,1002,3,1342,OK,OK
RELA,Q04206,,106,838,17,961,OK,OK
HIF1A,Q16665,,270,612,9,891,OK,OK
ALOX15,P16050,,393,455,7,855,OK,OK
ATG7,O95352,,239,233,0,472,OK,OK
MAP1LC3B,Q9GZQ8,,241,228,0,469,OK,OK
KDM6B,O15054,,209,220,0,429,OK,OK
LGMN,Q99538,,206,206,0,412,OK,OK
EPHA4,P54764,,208,186,1,395,OK,OK
NFKB1,P19838,,65,246,29,340,OK,OK
NOX4,Q9NPH5,,157,172,1,330,OK,OK
CXCL10,P02778,,0,203,3,206,ZERO_ACTIVES,OK
CISD1,Q9NZ45,,67,68,0,135,OK,OK
BECN1,Q14457,,13,56,6,75,OK,OK
SOD1,P00441,,0,0,26,26,ZERO_ACTIVES,ZERO
CD74,P04233,,25,0,0,25,OK,ZERO
SQSTM1,Q13501,,10,2,0,12,OK,OK
LCN2,P80188,,0,4,6,10,NOT_FOUND,OK
VDAC2,P45880,,2,2,2,6,OK,OK
VDAC3,Q9Y277,,2,2,2,6,OK,OK
SAT1,P21673,,0,2,3,5,NOT_FOUND,OK
SP1,P08047,,4,0,1,5,OK,ZERO
SLC3A2,P08195,,2,2,0,4,OK,OK
LPCAT3,Q6P1A2,,1,1,0,2,OK,OK
ACSL3,O95573,,1,1,0,2,OK,OK
IGFBP7,Q16270,,0,0,1,1,NOT_FOUND,ZERO
EMP1,P54849,,0,0,0,0,NOT_FOUND,ZERO
KLF6,Q99612,,0,0,0,0,NOT_FOUND,ZERO
IRF1,P10914,,0,0,0,0,NOT_FOUND,ZERO
FBXO31,Q5XUX0,,0,0,0,0,NOT_FOUND,ZERO
RUNX3,Q13761,,0,0,0,0,NOT_FOUND,ZERO
LACTB,P83111,,0,0,0,0,NOT_FOUND,ZERO
EGR1,P18146,,0,0,0,0,ZERO_ACTIVES,ZERO
GMFB,P60983,,0,0,0,0,NOT_FOUND,ZERO
HBP1,O60381,,0,0,0,0,NOT_FOUND,ZERO
ATG5,Q9H1Y0,,0,0,0,0,NOT_FOUND,ZERO
