gene,n_positives,n_matched,n_samples,status,n_positive_samples,n_negative_samples,RF_AUC_mean,RF_AUC_std,XGB_AUC_mean,XGB_AUC_std,LR_AUC_mean,LR_AUC_std,has_model
BCL6,1855,0.0,0,NO_MATCH,,,,,,,,,
CD74,25,0.0,0,NO_MATCH,,,,,,,,,
CTSB,2874,,101,INSUFFICIENT_DATA,1.0,100.0,,,,,,,
CXCL10,203,0.0,0,NO_MATCH,,,,,,,,,
DYRK1A,7895,,102,TRAINED,2.0,100.0,0.77,0.09,0.5,0.0,0.97,0.03,True
EGR1,0,0.0,0,NO_DATA,,,,,,,,,
EMP1,0,0.0,0,NO_DATA,,,,,,,,,
EPHA4,392,0.0,0,NO_MATCH,,,,,,,,,
FBXO31,0,0.0,0,NO_DATA,,,,,,,,,
GMFB,0,0.0,0,NO_DATA,,,,,,,,,
HBP1,0,0.0,0,NO_DATA,,,,,,,,,
IGFBP7,0,0.0,0,NO_DATA,,,,,,,,,
IL1B,650,0.0,0,NO_MATCH,,,,,,,,,
IRF1,0,0.0,0,NO_DATA,,,,,,,,,
KDM6B,468,0.0,0,NO_MATCH,,,,,,,,,
KLF6,0,0.0,0,NO_DATA,,,,,,,,,
LACTB,0,0.0,0,NO_DATA,,,,,,,,,
LCN2,4,0.0,0,NO_MATCH,,,,,,,,,
LGMN,412,0.0,0,NO_MATCH,,,,,,,,,
LPCAT3,1,0.0,0,NO_MATCH,,,,,,,,,
MAPK1,13301,,103,TRAINED,3.0,100.0,1.0,0.0,0.8283,0.2428,0.9697,0.0429,True
PDE4B,6901,0.0,0,NO_MATCH,,,,,,,,,
PTGS2,4088,,117,TRAINED,17.0,100.0,0.9571,0.0323,0.958,0.0459,0.9854,0.0076,True
RUNX3,0,0.0,0,NO_DATA,,,,,,,,,
SAT1,2,0.0,0,NO_MATCH,,,,,,,,,
SOD1,0,0.0,0,NO_DATA,,,,,,,,,
SP1,4,0.0,0,NO_MATCH,,,,,,,,,
TLR4,302,0.0,0,NO_MATCH,,,,,,,,,
