gene,val_auc,val_aupr,n_pos,prior
CD74,1.0,1.0,1,0.0007
CXCL10,1.0,1.0,34,0.0056
LGMN,0.9998,0.99,28,0.0108
IL1B,0.9994,0.9938,148,0.0171
KEAP1,0.9924,0.9747,282,0.0331
BCL6,0.9911,0.9834,288,0.0433
KDM6B,0.9822,0.9629,59,0.0114
TLR4,0.9764,0.7941,27,0.0053
ALOX15,0.9706,0.7966,149,0.0204
PDE4B,0.9705,0.9633,1124,0.169
HMOX1,0.9689,0.5819,9,0.0006
SAT1,0.9665,0.0147,1,1e-04
CTSB,0.9638,0.9148,411,0.067
DYRK1A,0.9588,0.9268,986,0.1328
NOX4,0.9495,0.8453,52,0.0089
EPHA4,0.9429,0.7491,70,0.0086
MAPK1,0.9387,0.9328,2348,0.3444
PTGS2,0.9348,0.8788,897,0.1127
HIF1A,0.928,0.7883,120,0.0195
LCN2,0.7262,0.0027,2,1e-04
SP1,0.5325,0.0011,1,1e-04
